STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMXP,EMXP_ATTRIBUTES
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1911,,
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1912,,
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1913,1," ,6,1124, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1914,1," ,6,0126,+"
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1915,1," ,6,0725,+"
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1929,0.47," ,0,0120, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1931,0.92," ,0,1108, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1932,0.78," ,0,0711, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1933,0.88," ,0,0117, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1934,0.68," ,0,0820, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1935,0.59," ,0,1125, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1936,0.72," ,0,0812, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1937,0.98," ,0,0902, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1939,0.92," ,0,0926, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1940,0.73," ,0,0401, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1941,1.15," ,0,0411, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1942,1.7," ,0,0809, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1943,0.97," ,0,1206, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1944,1.14," ,0,1112, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1945,1.62," ,0,0818, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1946,2.13," ,0,1028, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1947,2.11," ,0,1205, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1948,0.5," ,0,0411, "
USC00261358,"CALIENTE, NV US",37.6128,-114.5265,1334.7,1949,,
